phrog	color	annot	category
21307	#c9c9c9	NA	unknown function
21308	#838383	radical SAM domain-containing protein	other
21309	#c9c9c9	NA	unknown function
21310	#c9c9c9	NA	unknown function
21311	#3e83f6	terminase large subunit	head and packaging
21312	#c9c9c9	NA	unknown function
21313	#c9c9c9	NA	unknown function
21314	#c9c9c9	NA	unknown function
21315	#c9c9c9	NA	unknown function
21316	#c9c9c9	NA	unknown function
21317	#c9c9c9	NA	unknown function
21318	#c9c9c9	NA	unknown function
21319	#c9c9c9	NA	unknown function
21320	#c9c9c9	NA	unknown function
21321	#c9c9c9	NA	unknown function
21322	#3e83f6	virion structural protein	head and packaging
21323	#c9c9c9	NA	unknown function
21324	#c9c9c9	NA	unknown function
21325	#3e83f6	virion structural protein	head and packaging
21326	#c9c9c9	NA	unknown function
21327	#c9c9c9	NA	unknown function
21328	#c9c9c9	NA	unknown function
21329	#c9c9c9	NA	unknown function
21330	#c9c9c9	NA	unknown function
21331	#c9c9c9	NA	unknown function
21332	#c9c9c9	NA	unknown function
21333	#c9c9c9	NA	unknown function
21334	#c9c9c9	NA	unknown function
21335	#f35f49	holin	lysis
21336	#c9c9c9	NA	unknown function
21337	#c9c9c9	NA	unknown function
21338	#c9c9c9	NA	unknown function
21339	#838383	lipoprotein	other
21340	#c9c9c9	NA	unknown function
21341	#c9c9c9	NA	unknown function
21342	#c9c9c9	NA	unknown function
21343	#c9c9c9	NA	unknown function
21344	#c9c9c9	NA	unknown function
21345	#c9c9c9	NA	unknown function
21346	#c9c9c9	NA	unknown function
21347	#c9c9c9	NA	unknown function
21348	#c9c9c9	NA	unknown function
21349	#c9c9c9	NA	unknown function
21350	#c9c9c9	NA	unknown function
21351	#c9c9c9	NA	unknown function
21352	#ff59f5	membrane protein	moron, auxiliary metabolic gene and host takeover
21353	#c9c9c9	NA	unknown function
21354	#c9c9c9	NA	unknown function
21355	#c9c9c9	NA	unknown function
21356	#c9c9c9	NA	unknown function
21357	#f35f49	endolysin	lysis
21358	#07e9a2	tail length tape measure protein	tail
21359	#c9c9c9	NA	unknown function
21360	#c9c9c9	NA	unknown function
21361	#c9c9c9	NA	unknown function
21362	#c9c9c9	NA	unknown function
21363	#c9c9c9	NA	unknown function
21364	#c9c9c9	NA	unknown function
21365	#c9c9c9	NA	unknown function
21366	#c9c9c9	NA	unknown function
21367	#c9c9c9	NA	unknown function
21368	#c9c9c9	NA	unknown function
21369	#c9c9c9	NA	unknown function
21370	#c9c9c9	NA	unknown function
21371	#c9c9c9	NA	unknown function
21372	#c9c9c9	NA	unknown function
21373	#c9c9c9	NA	unknown function
21374	#c9c9c9	NA	unknown function
21375	#c9c9c9	NA	unknown function
21376	#c9c9c9	NA	unknown function
21377	#c9c9c9	NA	unknown function
21378	#c9c9c9	NA	unknown function
21379	#c9c9c9	NA	unknown function
21380	#c9c9c9	NA	unknown function
21381	#c9c9c9	NA	unknown function
21382	#c9c9c9	NA	unknown function
21383	#c9c9c9	NA	unknown function
21384	#c9c9c9	NA	unknown function
21385	#c9c9c9	NA	unknown function
21386	#c9c9c9	NA	unknown function
21387	#c9c9c9	NA	unknown function
21388	#ffdf59	exonuclease	DNA, RNA and nucleotide metabolism
21389	#c9c9c9	NA	unknown function
21390	#c9c9c9	NA	unknown function
21391	#ffdf59	DNA helicase	DNA, RNA and nucleotide metabolism
21392	#c9c9c9	NA	unknown function
21393	#c9c9c9	NA	unknown function
21394	#c9c9c9	NA	unknown function
21395	#c9c9c9	NA	unknown function
21396	#c9c9c9	NA	unknown function
21397	#c9c9c9	NA	unknown function
21398	#c9c9c9	NA	unknown function
21399	#c9c9c9	NA	unknown function
21400	#3e83f6	virion structural protein	head and packaging
21401	#07e9a2	pilot protein for DNA ejection	tail
21402	#c9c9c9	NA	unknown function
21403	#c9c9c9	NA	unknown function
21404	#c9c9c9	NA	unknown function
21405	#c9c9c9	NA	unknown function
21406	#c9c9c9	NA	unknown function
21407	#c9c9c9	NA	unknown function
21408	#c9c9c9	NA	unknown function
21409	#c9c9c9	NA	unknown function
21410	#c9c9c9	NA	unknown function
21411	#c9c9c9	NA	unknown function
21412	#07e9a2	tail fiber protein	tail
21413	#c9c9c9	NA	unknown function
21414	#c9c9c9	NA	unknown function
21415	#c9c9c9	NA	unknown function
21416	#c9c9c9	NA	unknown function
21417	#c9c9c9	NA	unknown function
21418	#c9c9c9	NA	unknown function
21419	#c9c9c9	NA	unknown function
21420	#c9c9c9	NA	unknown function
21421	#fea328	integrase	integration and excision
21422	#c9c9c9	NA	unknown function
21423	#c9c9c9	NA	unknown function
21424	#c9c9c9	NA	unknown function
21425	#c9c9c9	NA	unknown function
21426	#c9c9c9	NA	unknown function
21427	#c9c9c9	NA	unknown function
21428	#c9c9c9	NA	unknown function
21429	#c9c9c9	NA	unknown function
21430	#c9c9c9	NA	unknown function
21431	#c9c9c9	NA	unknown function
21432	#c9c9c9	NA	unknown function
21433	#f35f49	endolysin; inhibits RNA polymerase	lysis
21434	#c9c9c9	NA	unknown function
21435	#c9c9c9	NA	unknown function
21436	#c9c9c9	NA	unknown function
21437	#ff59f5	membrane protein	moron, auxiliary metabolic gene and host takeover
21438	#c9c9c9	NA	unknown function
21439	#c9c9c9	NA	unknown function
21440	#c9c9c9	NA	unknown function
21441	#c9c9c9	NA	unknown function
21442	#c9c9c9	NA	unknown function
21443	#c9c9c9	NA	unknown function
21444	#c9c9c9	NA	unknown function
21445	#c9c9c9	NA	unknown function
21446	#c9c9c9	NA	unknown function
21447	#3e83f6	virion structural protein	head and packaging
21448	#c9c9c9	NA	unknown function
21449	#c9c9c9	NA	unknown function
21450	#c9c9c9	NA	unknown function
21451	#c9c9c9	NA	unknown function
21452	#c9c9c9	NA	unknown function
21453	#c9c9c9	NA	unknown function
21454	#c9c9c9	NA	unknown function
21455	#c9c9c9	NA	unknown function
21456	#c9c9c9	NA	unknown function
21457	#c9c9c9	NA	unknown function
21458	#c9c9c9	NA	unknown function
21459	#c9c9c9	NA	unknown function
21460	#c9c9c9	NA	unknown function
21461	#838383	phosphohydrolase	other
21462	#c9c9c9	NA	unknown function
21463	#c9c9c9	NA	unknown function
21464	#c9c9c9	NA	unknown function
21465	#c9c9c9	NA	unknown function
21466	#c9c9c9	NA	unknown function
21467	#c9c9c9	NA	unknown function
21468	#c9c9c9	NA	unknown function
21469	#ff59f5	ribosomal protein S21	moron, auxiliary metabolic gene and host takeover
21470	#c9c9c9	NA	unknown function
21471	#c9c9c9	NA	unknown function
21472	#c9c9c9	NA	unknown function
21473	#c9c9c9	NA	unknown function
21474	#c9c9c9	NA	unknown function
21475	#c9c9c9	NA	unknown function
21476	#c9c9c9	NA	unknown function
21477	#c9c9c9	NA	unknown function
21478	#c9c9c9	NA	unknown function
21479	#c9c9c9	NA	unknown function
21480	#c9c9c9	NA	unknown function
21481	#c9c9c9	NA	unknown function
21482	#c9c9c9	NA	unknown function
21483	#c9c9c9	NA	unknown function
21484	#c9c9c9	NA	unknown function
21485	#c9c9c9	NA	unknown function
21486	#c9c9c9	NA	unknown function
21487	#c9c9c9	NA	unknown function
21488	#c9c9c9	NA	unknown function
21489	#c9c9c9	NA	unknown function
21490	#c9c9c9	NA	unknown function
21491	#c9c9c9	NA	unknown function
21492	#c9c9c9	NA	unknown function
21493	#c9c9c9	NA	unknown function
21494	#c9c9c9	NA	unknown function
21495	#c9c9c9	NA	unknown function
21496	#c9c9c9	NA	unknown function
21497	#c9c9c9	NA	unknown function
21498	#c9c9c9	NA	unknown function
21499	#c9c9c9	NA	unknown function
21500	#c9c9c9	NA	unknown function
21501	#c9c9c9	NA	unknown function
21502	#c9c9c9	NA	unknown function
21503	#c9c9c9	NA	unknown function
21504	#c9c9c9	NA	unknown function
21505	#c9c9c9	NA	unknown function
21506	#f35f49	Rz-like spanin	lysis
21507	#c9c9c9	NA	unknown function
21508	#c9c9c9	NA	unknown function
21509	#c9c9c9	NA	unknown function
21510	#c9c9c9	NA	unknown function
21511	#c9c9c9	NA	unknown function
21512	#c9c9c9	NA	unknown function
21513	#c9c9c9	NA	unknown function
21514	#c9c9c9	NA	unknown function
21515	#c9c9c9	NA	unknown function
21516	#c9c9c9	NA	unknown function
21517	#c9c9c9	NA	unknown function
21518	#c9c9c9	NA	unknown function
21519	#c9c9c9	NA	unknown function
21520	#c9c9c9	NA	unknown function
21521	#c9c9c9	NA	unknown function
21522	#c9c9c9	NA	unknown function
21523	#3e83f6	virion structural protein	head and packaging
21524	#07e9a2	tail protein with lysin activity	tail
21525	#c9c9c9	NA	unknown function
21526	#c9c9c9	NA	unknown function
21527	#c9c9c9	NA	unknown function
21528	#c9c9c9	NA	unknown function
21529	#c9c9c9	NA	unknown function
21530	#c9c9c9	NA	unknown function
21531	#c9c9c9	NA	unknown function
21532	#c9c9c9	NA	unknown function
21533	#c9c9c9	NA	unknown function
21534	#c9c9c9	NA	unknown function
21535	#c9c9c9	NA	unknown function
21536	#c9c9c9	NA	unknown function
21537	#3e83f6	virion structural protein	head and packaging
21538	#ff59f5	membrane protein	moron, auxiliary metabolic gene and host takeover
21539	#c9c9c9	NA	unknown function
21540	#c9c9c9	NA	unknown function
21541	#c9c9c9	NA	unknown function
21542	#c9c9c9	NA	unknown function
21543	#c9c9c9	NA	unknown function
21544	#c9c9c9	NA	unknown function
21545	#c9c9c9	NA	unknown function
21546	#07e9a2	tail fiber protein	tail
21547	#c9c9c9	NA	unknown function
21548	#c9c9c9	NA	unknown function
21549	#c9c9c9	NA	unknown function
21550	#c9c9c9	NA	unknown function
21551	#c9c9c9	NA	unknown function
21552	#c9c9c9	NA	unknown function
21553	#c9c9c9	NA	unknown function
21554	#ff59f5	membrane protein	moron, auxiliary metabolic gene and host takeover
21555	#c9c9c9	NA	unknown function
21556	#c9c9c9	NA	unknown function
21557	#c9c9c9	NA	unknown function
21558	#c9c9c9	NA	unknown function
21559	#c9c9c9	NA	unknown function
21560	#c9c9c9	NA	unknown function
21561	#c9c9c9	NA	unknown function
21562	#07e9a2	tail protein	tail
21563	#c9c9c9	NA	unknown function
21564	#c9c9c9	NA	unknown function
21565	#c9c9c9	NA	unknown function
21566	#c9c9c9	NA	unknown function
21567	#c9c9c9	NA	unknown function
21568	#c9c9c9	NA	unknown function
21569	#c9c9c9	NA	unknown function
21570	#c9c9c9	NA	unknown function
21571	#c9c9c9	NA	unknown function
21572	#c9c9c9	NA	unknown function
21573	#c9c9c9	NA	unknown function
21574	#c9c9c9	NA	unknown function
21575	#c9c9c9	NA	unknown function
21576	#c9c9c9	NA	unknown function
21577	#c9c9c9	NA	unknown function
21578	#c9c9c9	NA	unknown function
21579	#c9c9c9	NA	unknown function
21580	#c9c9c9	NA	unknown function
21581	#c9c9c9	NA	unknown function
21582	#c9c9c9	NA	unknown function
21583	#ff59f5	levanase	moron, auxiliary metabolic gene and host takeover
21584	#c9c9c9	NA	unknown function
21585	#c9c9c9	NA	unknown function
21586	#c9c9c9	NA	unknown function
21587	#c9c9c9	NA	unknown function
21588	#c9c9c9	NA	unknown function
21589	#c9c9c9	NA	unknown function
21590	#c9c9c9	NA	unknown function
21591	#c9c9c9	NA	unknown function
21592	#c9c9c9	NA	unknown function
21593	#c9c9c9	NA	unknown function
21594	#c9c9c9	NA	unknown function
21595	#c9c9c9	NA	unknown function
21596	#c9c9c9	NA	unknown function
21597	#c9c9c9	NA	unknown function
21598	#c9c9c9	NA	unknown function
21599	#c9c9c9	NA	unknown function
21600	#c9c9c9	NA	unknown function
21601	#c9c9c9	NA	unknown function
21602	#3e83f6	virion structural protein	head and packaging
21603	#c9c9c9	NA	unknown function
21604	#ff59f5	membrane protein	moron, auxiliary metabolic gene and host takeover
21605	#c9c9c9	NA	unknown function
21606	#c9c9c9	NA	unknown function
21607	#c9c9c9	NA	unknown function
21608	#c9c9c9	NA	unknown function
21609	#c9c9c9	NA	unknown function
21610	#c9c9c9	NA	unknown function
21611	#c9c9c9	NA	unknown function
21612	#a861e3	RNA polymerase sigma factor	transcription regulation
21613	#c9c9c9	NA	unknown function
21614	#c9c9c9	NA	unknown function
21615	#c9c9c9	NA	unknown function
21616	#c9c9c9	NA	unknown function
21617	#c9c9c9	NA	unknown function
21618	#c9c9c9	NA	unknown function
21619	#c9c9c9	NA	unknown function
21620	#3e83f6	virion structural protein	head and packaging
21621	#c9c9c9	NA	unknown function
21622	#c9c9c9	NA	unknown function
21623	#c9c9c9	NA	unknown function
21624	#c9c9c9	NA	unknown function
21625	#c9c9c9	NA	unknown function
21626	#c9c9c9	NA	unknown function
21627	#c9c9c9	NA	unknown function
21628	#c9c9c9	NA	unknown function
21629	#c9c9c9	NA	unknown function
21630	#c9c9c9	NA	unknown function
21631	#c9c9c9	NA	unknown function
21632	#c9c9c9	NA	unknown function
21633	#c9c9c9	NA	unknown function
21634	#07e9a2	tail assembly chaperone	tail
21635	#c9c9c9	NA	unknown function
21636	#c9c9c9	NA	unknown function
21637	#c9c9c9	NA	unknown function
21638	#c9c9c9	NA	unknown function
21639	#c9c9c9	NA	unknown function
21640	#c9c9c9	NA	unknown function
21641	#3e83f6	virion structural protein	head and packaging
21642	#c9c9c9	NA	unknown function
21643	#c9c9c9	NA	unknown function
21644	#ffdf59	DNA binding protein	DNA, RNA and nucleotide metabolism
21645	#c9c9c9	NA	unknown function
21646	#c9c9c9	NA	unknown function
21647	#c9c9c9	NA	unknown function
21648	#c9c9c9	NA	unknown function
21649	#c9c9c9	NA	unknown function
21650	#c9c9c9	NA	unknown function
21651	#c9c9c9	NA	unknown function
21652	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
21653	#c9c9c9	NA	unknown function
21654	#c9c9c9	NA	unknown function
21655	#c9c9c9	NA	unknown function
21656	#838383	peptidase	other
21657	#c9c9c9	NA	unknown function
21658	#838383	methyltransferase	other
21659	#c9c9c9	NA	unknown function
21660	#c9c9c9	NA	unknown function
21661	#c9c9c9	NA	unknown function
21662	#c9c9c9	NA	unknown function
21663	#c9c9c9	NA	unknown function
21664	#c9c9c9	NA	unknown function
21665	#c9c9c9	NA	unknown function
21666	#c9c9c9	NA	unknown function
21667	#c9c9c9	NA	unknown function
21668	#c9c9c9	NA	unknown function
21669	#c9c9c9	NA	unknown function
21670	#c9c9c9	NA	unknown function
21671	#c9c9c9	NA	unknown function
21672	#c9c9c9	NA	unknown function
21673	#3e83f6	virion structural protein	head and packaging
21674	#07e9a2	tail protein	tail
21675	#c9c9c9	NA	unknown function
21676	#c9c9c9	NA	unknown function
21677	#c9c9c9	NA	unknown function
21678	#3e83f6	virion structural protein	head and packaging
21679	#c9c9c9	NA	unknown function
21680	#c9c9c9	NA	unknown function
21681	#c9c9c9	NA	unknown function
21682	#c9c9c9	NA	unknown function
21683	#c9c9c9	NA	unknown function
21684	#c9c9c9	NA	unknown function
21685	#c9c9c9	NA	unknown function
21686	#c9c9c9	NA	unknown function
21687	#c9c9c9	NA	unknown function
21688	#c9c9c9	NA	unknown function
21689	#c9c9c9	NA	unknown function
21690	#c9c9c9	NA	unknown function
21691	#c9c9c9	NA	unknown function
21692	#c9c9c9	NA	unknown function
21693	#c9c9c9	NA	unknown function
21694	#3e83f6	Hoc-like head decoration	head and packaging
21695	#c9c9c9	NA	unknown function
21696	#c9c9c9	NA	unknown function
21697	#c9c9c9	NA	unknown function
21698	#c9c9c9	NA	unknown function
21699	#c9c9c9	NA	unknown function
21700	#c9c9c9	NA	unknown function
21701	#c9c9c9	NA	unknown function
21702	#c9c9c9	NA	unknown function
21703	#c9c9c9	NA	unknown function
21704	#ff59f5	membrane protein	moron, auxiliary metabolic gene and host takeover
21705	#c9c9c9	NA	unknown function
21706	#c9c9c9	NA	unknown function
21707	#c9c9c9	NA	unknown function
21708	#c9c9c9	NA	unknown function
21709	#c9c9c9	NA	unknown function
21710	#c9c9c9	NA	unknown function
21711	#c9c9c9	NA	unknown function
21712	#3e83f6	major head protein	head and packaging
21713	#c9c9c9	NA	unknown function
21714	#c9c9c9	NA	unknown function
21715	#c9c9c9	NA	unknown function
21716	#c9c9c9	NA	unknown function
21717	#c9c9c9	NA	unknown function
21718	#c9c9c9	NA	unknown function
21719	#c9c9c9	NA	unknown function
21720	#c9c9c9	NA	unknown function
21721	#ffdf59	RusA-like Holliday junction resolvase	DNA, RNA and nucleotide metabolism
21722	#07e9a2	long tail fiber protein distal subunit	tail
21723	#c9c9c9	NA	unknown function
21724	#c9c9c9	NA	unknown function
21725	#c9c9c9	NA	unknown function
21726	#c9c9c9	NA	unknown function
21727	#c9c9c9	NA	unknown function
21728	#c9c9c9	NA	unknown function
21729	#c9c9c9	NA	unknown function
21730	#c9c9c9	NA	unknown function
21731	#c9c9c9	NA	unknown function
21732	#c9c9c9	NA	unknown function
21733	#c9c9c9	NA	unknown function
21734	#c9c9c9	NA	unknown function
21735	#c9c9c9	NA	unknown function
21736	#c9c9c9	NA	unknown function
21737	#c9c9c9	NA	unknown function
21738	#c9c9c9	NA	unknown function
21739	#c9c9c9	NA	unknown function
21740	#c9c9c9	NA	unknown function
21741	#c9c9c9	NA	unknown function
21742	#c9c9c9	NA	unknown function
21743	#c9c9c9	NA	unknown function
21744	#c9c9c9	NA	unknown function
21745	#c9c9c9	NA	unknown function
21746	#c9c9c9	NA	unknown function
21747	#c9c9c9	NA	unknown function
21748	#c9c9c9	NA	unknown function
21749	#c9c9c9	NA	unknown function
21750	#c9c9c9	NA	unknown function
21751	#c9c9c9	NA	unknown function
21752	#c9c9c9	NA	unknown function
21753	#c9c9c9	NA	unknown function
21754	#c9c9c9	NA	unknown function
21755	#c9c9c9	NA	unknown function
21756	#c9c9c9	NA	unknown function
21757	#c9c9c9	NA	unknown function
21758	#c9c9c9	NA	unknown function
21759	#c9c9c9	NA	unknown function
21760	#c9c9c9	NA	unknown function
21761	#c9c9c9	NA	unknown function
21762	#c9c9c9	NA	unknown function
21763	#c9c9c9	NA	unknown function
21764	#c9c9c9	NA	unknown function
21765	#c9c9c9	NA	unknown function
21766	#c9c9c9	NA	unknown function
21767	#c9c9c9	NA	unknown function
21768	#c9c9c9	NA	unknown function
21769	#c9c9c9	NA	unknown function
21770	#c9c9c9	NA	unknown function
21771	#c9c9c9	NA	unknown function
21772	#c9c9c9	NA	unknown function
21773	#c9c9c9	NA	unknown function
21774	#c9c9c9	NA	unknown function
21775	#c9c9c9	NA	unknown function
21776	#838383	transglycosylase	other
21777	#c9c9c9	NA	unknown function
21778	#c9c9c9	NA	unknown function
21779	#3e83f6	minor head protein	head and packaging
21780	#f35f49	holin	lysis
21781	#c9c9c9	NA	unknown function
21782	#c9c9c9	NA	unknown function
21783	#c9c9c9	NA	unknown function
21784	#c9c9c9	NA	unknown function
21785	#c9c9c9	NA	unknown function
21786	#c9c9c9	NA	unknown function
21787	#c9c9c9	NA	unknown function
21788	#c9c9c9	NA	unknown function
21789	#3e83f6	virion structural protein	head and packaging
21790	#c9c9c9	NA	unknown function
21791	#838383	peptidase	other
21792	#c9c9c9	NA	unknown function
21793	#c9c9c9	NA	unknown function
21794	#c9c9c9	NA	unknown function
21795	#c9c9c9	NA	unknown function
21796	#c9c9c9	NA	unknown function
21797	#c9c9c9	NA	unknown function
21798	#c9c9c9	NA	unknown function
21799	#c9c9c9	NA	unknown function
21800	#c9c9c9	NA	unknown function
21801	#c9c9c9	NA	unknown function
21802	#c9c9c9	NA	unknown function
21803	#c9c9c9	NA	unknown function
21804	#c9c9c9	NA	unknown function
21805	#c9c9c9	NA	unknown function
21806	#07e9a2	minor tail protein	tail
21807	#c9c9c9	NA	unknown function
21808	#c9c9c9	NA	unknown function
21809	#c9c9c9	NA	unknown function
21810	#c9c9c9	NA	unknown function
21811	#c9c9c9	NA	unknown function
21812	#c9c9c9	NA	unknown function
21813	#c9c9c9	NA	unknown function
21814	#c9c9c9	NA	unknown function
21815	#c9c9c9	NA	unknown function
21816	#c9c9c9	NA	unknown function
21817	#c9c9c9	NA	unknown function
21818	#c9c9c9	NA	unknown function
21819	#c9c9c9	NA	unknown function
21820	#c9c9c9	NA	unknown function
21821	#c9c9c9	NA	unknown function
21822	#c9c9c9	NA	unknown function
21823	#c9c9c9	NA	unknown function
21824	#c9c9c9	NA	unknown function
21825	#f35f49	endolysin	lysis
21826	#c9c9c9	NA	unknown function
21827	#ff59f5	membrane protein	moron, auxiliary metabolic gene and host takeover
21828	#c9c9c9	NA	unknown function
21829	#c9c9c9	NA	unknown function
21830	#c9c9c9	NA	unknown function
21831	#c9c9c9	NA	unknown function
21832	#c9c9c9	NA	unknown function
21833	#c9c9c9	NA	unknown function
21834	#c9c9c9	NA	unknown function
21835	#c9c9c9	NA	unknown function
21836	#c9c9c9	NA	unknown function
21837	#c9c9c9	NA	unknown function
21838	#c9c9c9	NA	unknown function
21839	#c9c9c9	NA	unknown function
21840	#c9c9c9	NA	unknown function
21841	#c9c9c9	NA	unknown function
21842	#c9c9c9	NA	unknown function
21843	#c9c9c9	NA	unknown function
21844	#07e9a2	tail protein	tail
21845	#07e9a2	tail length tape measure protein	tail
21846	#c9c9c9	NA	unknown function
21847	#c9c9c9	NA	unknown function
21848	#c9c9c9	NA	unknown function
21849	#c9c9c9	NA	unknown function
21850	#c9c9c9	NA	unknown function
21851	#c9c9c9	NA	unknown function
21852	#c9c9c9	NA	unknown function
21853	#c9c9c9	NA	unknown function
21854	#c9c9c9	NA	unknown function
21855	#c9c9c9	NA	unknown function
21856	#c9c9c9	NA	unknown function
21857	#c9c9c9	NA	unknown function
21858	#c9c9c9	NA	unknown function
21859	#c9c9c9	NA	unknown function
21860	#c9c9c9	NA	unknown function
21861	#c9c9c9	NA	unknown function
21862	#c9c9c9	NA	unknown function
21863	#c9c9c9	NA	unknown function
21864	#c9c9c9	NA	unknown function
21865	#c9c9c9	NA	unknown function
21866	#ffdf59	primase	DNA, RNA and nucleotide metabolism
21867	#c9c9c9	NA	unknown function
21868	#c9c9c9	NA	unknown function
21869	#c9c9c9	NA	unknown function
21870	#c9c9c9	NA	unknown function
21871	#c9c9c9	NA	unknown function
21872	#c9c9c9	NA	unknown function
21873	#c9c9c9	NA	unknown function
21874	#c9c9c9	NA	unknown function
21875	#ff59f5	GtrC-like O-antigen conversion translocase	moron, auxiliary metabolic gene and host takeover
21876	#c9c9c9	NA	unknown function
21877	#c9c9c9	NA	unknown function
21878	#07e9a2	tail fiber protein	tail
21879	#c9c9c9	NA	unknown function
21880	#c9c9c9	NA	unknown function
21881	#c9c9c9	NA	unknown function
21882	#c9c9c9	NA	unknown function
21883	#c9c9c9	NA	unknown function
21884	#c9c9c9	NA	unknown function
21885	#c9c9c9	NA	unknown function
21886	#c9c9c9	NA	unknown function
21887	#ffdf59	DNA primase	DNA, RNA and nucleotide metabolism
21888	#c9c9c9	NA	unknown function
21889	#c9c9c9	NA	unknown function
21890	#f35f49	endolysin	lysis
21891	#c9c9c9	NA	unknown function
21892	#c9c9c9	NA	unknown function
21893	#c9c9c9	NA	unknown function
21894	#c9c9c9	NA	unknown function
21895	#c9c9c9	NA	unknown function
21896	#c9c9c9	NA	unknown function
21897	#c9c9c9	NA	unknown function
21898	#c9c9c9	NA	unknown function
21899	#c9c9c9	NA	unknown function
21900	#c9c9c9	NA	unknown function
21901	#c9c9c9	NA	unknown function
21902	#c9c9c9	NA	unknown function
21903	#c9c9c9	NA	unknown function
21904	#c9c9c9	NA	unknown function
21905	#c9c9c9	NA	unknown function
21906	#c9c9c9	NA	unknown function
21907	#c9c9c9	NA	unknown function
21908	#c9c9c9	NA	unknown function
21909	#c9c9c9	NA	unknown function
21910	#c9c9c9	NA	unknown function
21911	#c9c9c9	NA	unknown function
21912	#ffdf59	DNA binding protein	DNA, RNA and nucleotide metabolism
21913	#c9c9c9	NA	unknown function
21914	#c9c9c9	NA	unknown function
21915	#c9c9c9	NA	unknown function
21916	#c9c9c9	NA	unknown function
21917	#c9c9c9	NA	unknown function
21918	#c9c9c9	NA	unknown function
21919	#c9c9c9	NA	unknown function
21920	#c9c9c9	NA	unknown function
21921	#c9c9c9	NA	unknown function
21922	#c9c9c9	NA	unknown function
21923	#c9c9c9	NA	unknown function
21924	#c9c9c9	NA	unknown function
21925	#c9c9c9	NA	unknown function
21926	#c9c9c9	NA	unknown function
21927	#c9c9c9	NA	unknown function
21928	#c9c9c9	NA	unknown function
21929	#c9c9c9	NA	unknown function
21930	#f35f49	holin	lysis
21931	#c9c9c9	NA	unknown function
21932	#c9c9c9	NA	unknown function
21933	#c9c9c9	NA	unknown function
21934	#c9c9c9	NA	unknown function
21935	#c9c9c9	NA	unknown function
21936	#c9c9c9	NA	unknown function
21937	#c9c9c9	NA	unknown function
21938	#c9c9c9	NA	unknown function
21939	#c9c9c9	NA	unknown function
21940	#c9c9c9	NA	unknown function
21941	#c9c9c9	NA	unknown function
21942	#c9c9c9	NA	unknown function
21943	#c9c9c9	NA	unknown function
21944	#c9c9c9	NA	unknown function
21945	#c9c9c9	NA	unknown function
21946	#c9c9c9	NA	unknown function
21947	#c9c9c9	NA	unknown function
21948	#c9c9c9	NA	unknown function
21949	#c9c9c9	NA	unknown function
21950	#c9c9c9	NA	unknown function
21951	#c9c9c9	NA	unknown function
21952	#ffdf59	RNA ligase	DNA, RNA and nucleotide metabolism
21953	#c9c9c9	NA	unknown function
21954	#c9c9c9	NA	unknown function
21955	#c9c9c9	NA	unknown function
21956	#c9c9c9	NA	unknown function
21957	#c9c9c9	NA	unknown function
21958	#c9c9c9	NA	unknown function
21959	#c9c9c9	NA	unknown function
21960	#c9c9c9	NA	unknown function
21961	#c9c9c9	NA	unknown function
21962	#07e9a2	tail protein	tail
21963	#ffdf59	alkylated DNA repair	DNA, RNA and nucleotide metabolism
21964	#ffdf59	HNH endonuclease	DNA, RNA and nucleotide metabolism
21965	#c9c9c9	NA	unknown function
21966	#c9c9c9	NA	unknown function
21967	#c9c9c9	NA	unknown function
21968	#c9c9c9	NA	unknown function
21969	#c9c9c9	NA	unknown function
21970	#c9c9c9	NA	unknown function
21971	#c9c9c9	NA	unknown function
21972	#c9c9c9	NA	unknown function
21973	#07e9a2	tail protein	tail
21974	#c9c9c9	NA	unknown function
21975	#c9c9c9	NA	unknown function
21976	#c9c9c9	NA	unknown function
21977	#c9c9c9	NA	unknown function
21978	#c9c9c9	NA	unknown function
21979	#c9c9c9	NA	unknown function
21980	#c9c9c9	NA	unknown function
21981	#c9c9c9	NA	unknown function
21982	#c9c9c9	NA	unknown function
21983	#c9c9c9	NA	unknown function
21984	#c9c9c9	NA	unknown function
21985	#c9c9c9	NA	unknown function
21986	#c9c9c9	NA	unknown function
21987	#c9c9c9	NA	unknown function
21988	#c9c9c9	NA	unknown function
21989	#c9c9c9	NA	unknown function
21990	#c9c9c9	NA	unknown function
21991	#c9c9c9	NA	unknown function
21992	#838383	esterase/lipase	other
21993	#c9c9c9	NA	unknown function
21994	#c9c9c9	NA	unknown function
21995	#07e9a2	tail assembly chaperone	tail
21996	#c9c9c9	NA	unknown function
21997	#c9c9c9	NA	unknown function
21998	#c9c9c9	NA	unknown function
21999	#c9c9c9	NA	unknown function
22000	#c9c9c9	NA	unknown function
22001	#c9c9c9	NA	unknown function
22002	#c9c9c9	NA	unknown function
22003	#c9c9c9	NA	unknown function
22004	#c9c9c9	NA	unknown function
22005	#c9c9c9	NA	unknown function
22006	#c9c9c9	NA	unknown function
22007	#c9c9c9	NA	unknown function
22008	#c9c9c9	NA	unknown function
22009	#c9c9c9	NA	unknown function
22010	#c9c9c9	NA	unknown function
22011	#c9c9c9	NA	unknown function
22012	#c9c9c9	NA	unknown function
22013	#c9c9c9	NA	unknown function
22014	#c9c9c9	NA	unknown function
22015	#c9c9c9	NA	unknown function
22016	#c9c9c9	NA	unknown function
22017	#c9c9c9	NA	unknown function
